No,Province,Population,GDP,ProvinceCapital,Longitude,Latitude
1,河南,9613,14234,郑州,113.42,34.48
2,山东,9082,25326,济南,117.00,36.38
3,四川,8673,9657,成都,104.05,30.39
4,广东,7859,29863,广州,113.15,23.08
5,江苏,7381,24738,南京,118.50,32.02
6,河北,6735,13387,石家庄,114.28,38.02
7,湖南,6629,8366,长沙,113.00,28.11
8,安徽,6338,6906,合肥,117.18,31.51
9,湖北,5988,8451,武汉,114.21,30.37
10,广西,4822,5386,南宁,108.20,22.48
11,浙江,4647,17633,杭州,120.09,30.14
12,云南,4333,4260,昆明,102.41,25.0
13,江西,4222,5323,南昌,115.52,28.41
14,辽宁,4203,10418,沈阳,123.24,41.50
15,贵州,3837,2543,贵阳,106.42,26.35
16,黑龙,3813,7081,哈尔滨,126.41,45.45
17,陕西,3674,4806,西安,108.54,34.16
18,福建,3466,8440,福州,119.18,26.05
19,山西,3294,5465,太原,112.34,37.52
20,重庆,3107,3938,重庆,106.32,29.32
21,吉林,2699,4693,长春,125.19,43.52
22,甘肃,2593,2494,兰州,103.49,36.03
23,内蒙,2379,6140,呼和浩特,111.48,40.49
24,新疆,1905,3305,乌鲁木齐,87.36,43.48
25,上海,1625,11658,上海,121.29,31.14
26,北京,1423,8879,北京,116.28,39.54
27,天津,1007,5014,天津,117.11,39.09
28,海南,803,1121,海口,110.20,20.02
29,宁夏,572,769,银川,106.16,38.20
30,青海,529,706,西宁,101.45,36.38
31,西藏,267,326,拉萨,91.10,29.40
